id,created_at,attendance,content_title,country,created_by,description,genre,image,is_collect,kind,regulation,release_date,running_time,series_no,star_rate,status,tomato,updated_at,updated_by
39,2016-05-13 12:33:38,829,업그레이드 가능한 객체 지향적 프레임,네덜란드 왕국,김정남,사용자 중심의 비동기 프로젝트,스릴러,develop,1,드라마,6,2005-06-08,2021-01-01,,1.0,0,17,2016-05-13 12:33:38,김정남
40,2002-11-28 17:09:17,572,더 커진 무해한 예보,루마니아,김재현,적응된 4세대 엑스트라넷,다큐멘터리,develop,1,드라마,2,2011-12-23,2021-01-01,,1.0,1,13,2002-11-28 17:09:17,김재현
41,2018-09-13 07:39:49,486,디지털화된 수요 중심 마이그레이션,모로코,김중수,복제된 글로벌 인터페이스,공포,develop,1,영화,1,2001-12-19,2021-01-01,,4.5,1,21,2018-09-13 07:39:49,김중수
42,2000-05-28 04:54:28,929,단체 기반의 보조 태도,이라크,이현숙,최전방 휴대형 코어,공포,develop,1,드라마,2,2011-09-07,2021-01-01,,2.0,1,79,2000-05-28 04:54:28,이현숙
43,2012-07-07 04:29:24,855,다중 주파수 휴리스틱 우연성,온두라스,장지아,낮은 글로벌 표준,순정,develop,0,영화,6,2001-01-07,2021-01-01,,0.5,0,23,2012-07-07 04:29:24,장지아
44,2006-01-14 20:38:11,755,함수 기반의 3세대 암호화,세이셸,고준영,중심이 분리된 데이터베이스,다큐멘터리,develop,1,드라마,1,2012-11-02,2021-01-01,,2.0,0,29,2006-01-14 20:38:11,고준영
45,2007-02-25 03:29:45,226,공개 키 물류 도전,엘살바도르,류중수,조직화된 그리드 가능 회로,공포,develop,1,영화,3,2002-02-20,2021-01-01,,4.0,1,23,2007-02-25 03:29:45,류중수
46,2017-02-07 07:13:11,29,올바른 사이즈의 보조 프레임,세네갈,윤성진,변경 가능한 요약 관리자,순정,develop,0,드라마,2,2006-07-02,2021-01-01,,4.5,0,85,2017-02-07 07:13:11,윤성진
47,2018-07-14 12:13:13,70,디지털화된 6세대 정책,모나코,김서윤,다양한 로컬 설치과정,코미디,develop,1,TV쇼,2,2007-01-25,2021-01-01,,4.0,0,53,2018-07-14 12:13:13,김서윤
48,2003-01-20 12:43:05,632,유기농 수요 중심 컨셉,벨리즈,민건우,숙련된 해답 기반 솔루션,다큐멘터리,develop,1,드라마,1,2018-08-15,2021-01-01,,1.5,1,5,2003-01-20 12:43:05,민건우
49,2012-09-26 13:08:40,535,비전 있는 다음 세대 배열,세인트키츠 네비스,윤순자,적응된 상황에 맞는 인공지능,순정,develop,1,드라마,4,2014-01-18,2021-01-01,,0.5,0,96,2012-09-26 13:08:40,윤순자
50,2013-11-25 01:20:20,662,수익에 중점을 둔 결합된 관리자,보츠와나,이경희,디지털화된 3세대 모델,코미디,develop,0,영화,0,2016-11-21,2021-01-01,,1.0,1,44,2013-11-25 01:20:20,이경희
51,2021-04-09 07:34:28,226,공개 아키텍쳐 글로벌 패러다임,벨기에,강성진,수익에 중점을 둔 헌신적 태도,순정,develop,1,영화,4,2000-07-23,2021-01-01,,4.5,0,99,2021-04-09 07:34:28,강성진
52,2012-05-14 17:33:56,847,가상 정적 지원,아프가니스탄,김경자,자동화된 방향 벤치마크,스릴러,develop,1,영화,7,2014-06-26,2021-01-01,,4.5,0,33,2012-05-14 17:33:56,김경자
53,2014-10-08 17:21:03,665,올바른 사이즈의 안정적 전략,투르크메니스탄,조건우,특별한 역수 융합,코미디,develop,1,TV쇼,6,2009-09-19,2021-01-01,,1.0,0,37,2014-10-08 17:21:03,조건우
54,2016-10-19 00:48:05,315,함수 기반의 로컬 그룹웨어,우루과이,최영식,선택적 최적화된 생산 능력,공포,develop,0,영화,6,2021-10-05,2021-01-01,,2.5,1,67,2016-10-19 00:48:05,최영식
55,2000-02-23 13:14:42,165,관리된 그리드 가능 연합,조지아,오민준,선택적 수요 중심 접근,스릴러,develop,0,영화,5,2000-05-13,2021-01-01,,4.0,0,60,2000-02-23 13:14:42,오민준
56,2003-07-27 14:19:15,674,관리된 역수 지식 기반,상투메 프린시페,이지원,총 최적화된 성공,다큐멘터리,develop,0,영화,6,2017-12-19,2021-01-01,,3.5,0,99,2003-07-27 14:19:15,이지원
57,2010-04-18 22:06:08,418,재정렬 장거리 에뮬레이션,멕시코,김영환,원활한 웹 사용 가능 어댑터,순정,develop,0,드라마,4,2020-05-05,2021-01-01,,0.0,1,21,2010-04-18 22:06:08,김영환
58,2020-08-20 16:36:31,231,객체 기반의 스며든 유연성,에콰도르,송미영,업그레이드 가능한 범국가적 웹 사이트,스릴러,develop,1,TV쇼,1,2015-10-25,2021-01-01,,3.5,0,61,2020-08-20 16:36:31,송미영
59,2008-11-20 01:31:39,62,크로스 플랫폼 분석중인 유연성,미얀마,양지연,유저 친화적 다중 상태 소프트웨어,코미디,develop,1,영화,4,2012-10-02,2021-01-01,,1.5,0,83,2008-11-20 01:31:39,양지연
60,2014-08-26 10:10:23,101,1:1 멀티 태스킹 배열,가봉,허성훈,1:1 실시간 유연성,순정,develop,0,드라마,2,2019-04-28,2021-01-01,,5.0,0,82,2014-08-26 10:10:23,허성훈
61,2000-04-07 02:52:21,693,복제된 취약점 정책,콩고 공화국,장서영,최적화된 보조 구조체,다큐멘터리,develop,1,드라마,3,2016-10-06,2021-01-01,,4.5,1,18,2000-04-07 02:52:21,장서영
62,2021-09-24 09:13:40,264,함수 기반의 상황에 맞는 지식 기반,쿠바,김건우,적응된 멀티 태스킹 소프트웨어,공포,develop,1,영화,0,2007-07-13,2021-01-01,,5.0,0,53,2021-09-24 09:13:40,김건우
63,2011-10-22 22:30:34,837,올바른 사이즈의 무관리 보안구역,방글라데시,권은서,더 작아진 작동 프로토콜,다큐멘터리,develop,1,TV쇼,1,2019-06-08,2021-01-01,,5.0,0,52,2011-10-22 22:30:34,권은서
64,2006-07-26 12:25:22,34,올바른 사이즈의 해답 기반 패러다임,리투아니아,김정웅,안전한 클라이언트 단 암호화,공포,develop,1,영화,2,2020-09-27,2021-01-01,,4.0,0,81,2006-07-26 12:25:22,김정웅
65,2003-05-23 14:34:44,28,조직화된 실시간 인터페이스,인도네시아,이영길,멀티 레이어 휴대형 프레임워크,순정,develop,1,드라마,4,2017-11-20,2021-01-01,,1.5,1,85,2003-05-23 14:34:44,이영길
66,2005-09-02 08:05:27,612,크로스 플랫폼 4세대 태도,쿠웨이트,김현숙,유저 친화적 안정적 웹 사이트,공포,develop,1,TV쇼,5,2012-11-21,2021-01-01,,3.5,1,16,2005-09-02 08:05:27,김현숙
67,2005-06-14 17:51:10,216,강력한 무관용 LAN,아제르바이잔,김영호,프로그래밍 가능한 해답 기반 포탈,스릴러,develop,1,TV쇼,4,2004-10-19,2021-01-01,,2.5,0,39,2005-06-14 17:51:10,김영호
68,2000-06-09 07:38:38,117,최적화된 잘 모듈화된 인터페이스,코스타리카,박예준,미래가 보장된 범국가적 LAN,스릴러,develop,1,드라마,5,2008-06-04,2021-01-01,,0.5,1,6,2000-06-09 07:38:38,박예준
69,2011-09-22 19:11:57,97,총 5세대 어플리케이션,오스트리아,백민재,숙련된 결정 미디어 정보,코미디,develop,0,영화,5,2002-03-14,2021-01-01,,4.0,1,52,2011-09-22 19:11:57,백민재
70,2009-04-07 14:17:06,994,강화된 멀티미디어 관리자,피지,박경숙,멀티 레이어 모듈형 태도,코미디,develop,1,드라마,6,2018-01-02,2021-01-01,,4.5,0,86,2009-04-07 14:17:06,박경숙
71,2010-08-18 09:05:31,505,사용자 중심의 백그라운드 정책,싱가포르,이은주,더 작아진 상황에 맞는 계층,스릴러,develop,1,드라마,7,2013-07-16,2021-01-01,,2.5,0,33,2010-08-18 09:05:31,이은주
72,2014-11-26 10:09:13,706,비전 있는 범국가적 예산 관리,잠비아,이현숙,안전한 물류 성공,다큐멘터리,develop,1,영화,0,2021-06-27,2021-01-01,,5.0,0,31,2014-11-26 10:09:13,이현숙
73,2017-07-16 23:39:30,736,동기화 결정 축적,슬로바키아,윤정숙,공개 키 중립형 능력,공포,develop,0,영화,7,2007-09-08,2021-01-01,,3.0,0,27,2017-07-16 23:39:30,윤정숙
74,2008-07-03 08:37:18,925,강화된 클라이언트-서버 회로,부룬디,양순자,객체 기반의 멀티 태스킹 성공,스릴러,develop,0,영화,4,2012-05-24,2021-01-01,,3.0,1,52,2008-07-03 08:37:18,양순자
75,2015-06-14 08:00:33,855,1:1 3세대 미들웨어,루마니아,황재호,강화된 분리형 예산 관리,다큐멘터리,develop,1,드라마,7,2008-01-06,2021-01-01,,1.5,1,25,2015-06-14 08:00:33,황재호
76,2000-03-12 14:25:48,786,비전 있는 근본적 관리자,예멘,하재호,업그레이드 가능한 물류 정책,다큐멘터리,develop,1,드라마,2,2001-01-11,2021-01-01,,4.5,0,13,2000-03-12 14:25:48,하재호
77,2013-12-14 23:07:20,811,최적화된 고도 기반 패러다임,캐나다,김영식,다용도 6세대 회로,순정,develop,1,영화,5,2009-01-04,2021-01-01,,0.0,0,40,2013-12-14 23:07:20,김영식
78,2000-07-01 04:32:27,344,다양한 클라이언트 단 전략,모잠비크,한옥순,공개 아키텍쳐 분석중인 성공,코미디,develop,1,드라마,3,2016-05-10,2021-01-01,,4.5,1,63,2000-07-01 04:32:27,한옥순
79,2019-07-04 13:36:59,779,안전한 분석중인 코어,카타르,권지현,출판된 최대화 프로토콜,공포,develop,1,드라마,3,2014-11-03,2021-01-01,,4.0,1,15,2019-07-04 13:36:59,권지현
80,2004-08-17 01:57:50,358,가상 백그라운드 표준,예멘,박지은,낮은 결합된 보안구역,스릴러,develop,0,영화,7,2004-07-14,2021-01-01,,1.5,0,9,2004-08-17 01:57:50,박지은
81,2003-03-06 08:39:17,15,출판된 로컬 알고리즘,루마니아,차성민,무결점의 3세대 데이터베이스,스릴러,develop,0,TV쇼,7,2000-01-24,2021-01-01,,5.0,0,46,2003-03-06 08:39:17,차성민
82,2006-09-26 12:55:53,271,융합력있는 근본적 접근,파푸아 뉴기니,윤주원,비전 있는 주파수 탐지 가능 프로젝트,순정,develop,1,영화,1,2019-09-17,2021-01-01,,0.5,0,79,2006-09-26 12:55:53,윤주원
83,2001-12-03 01:23:12,178,리버스 엔지니어링된 5세대 소프트웨어,앙골라,김지후,확대된 무관리 웹 사이트,순정,develop,0,드라마,4,2005-03-18,2021-01-01,,5.0,1,74,2001-12-03 01:23:12,김지후
84,2005-06-14 10:25:30,137,확대된 안정적 접근,벨기에,지민재,강력한 최적화된 지식 기반,공포,develop,1,드라마,0,2013-04-18,2021-01-01,,2.0,1,53,2005-06-14 10:25:30,지민재
85,2014-09-07 21:12:47,913,확장된 환경 친화적 예보,기니,박경숙,사용자 중심의 가치추가 GUI,스릴러,develop,1,영화,3,2019-09-20,2021-01-01,,3.5,1,99,2014-09-07 21:12:47,박경숙
86,2004-10-19 22:25:24,382,원활한 필수 유연성,수단,박순옥,독보적인 무관리 웹 사이트,스릴러,develop,1,드라마,0,2011-11-15,2021-01-01,,0.5,0,25,2004-10-19 22:25:24,박순옥
87,2004-10-05 05:14:07,87,다양한 물류 정의,아이슬란드,이영희,리버스 엔지니어링된 백그라운드 함수,스릴러,develop,1,드라마,1,2017-08-20,2021-01-01,,3.0,1,23,2004-10-05 05:14:07,이영희
88,2016-12-03 03:02:00,908,유기농 방향 인공지능,케냐,오숙자,리버스 엔지니어링된 방향 하드웨어,스릴러,develop,0,TV쇼,4,2019-04-03,2021-01-01,,3.0,0,78,2016-12-03 03:02:00,오숙자
89,2016-05-11 08:45:10,458,선택적 분리된 생산 능력,코스타리카,박은지,크로스 플랫폼 확장 프레임워크,다큐멘터리,develop,1,TV쇼,6,2014-04-12,2021-01-01,,1.0,1,43,2016-05-11 08:45:10,박은지
90,2021-07-01 03:16:21,917,수익에 중점을 둔 수요 중심 마이그레이션,슬로베니아,윤지은,비즈니스 중점적 가치추가 허브,코미디,develop,0,TV쇼,6,2014-05-16,2021-01-01,,1.5,0,53,2021-07-01 03:16:21,윤지은
91,2019-10-16 21:40:27,306,품질 중심의 클라이언트-서버 엔진,볼리비아,김동현,낮은 헌신적 어플리케이션,공포,develop,0,드라마,1,2013-01-09,2021-01-01,,1.5,0,6,2019-10-16 21:40:27,김동현
92,2002-04-21 19:47:14,390,유기농 휴대형 시간화,쿠웨이트,박중수,멀티 채널 인간자원 미디어 정보,다큐멘터리,develop,0,영화,4,2002-08-24,2021-01-01,,0.5,1,80,2002-04-21 19:47:14,박중수
93,2006-12-13 11:30:49,233,자동화된 방향 어플리케이션,우간다,김상철,줄어든 환경 친화적 패러다임,공포,develop,0,영화,1,2005-01-07,2021-01-01,,3.5,0,94,2006-12-13 11:30:49,김상철
94,2017-11-05 13:50:56,117,융합력있는 범국가적 연합,요르단,윤정수,유기농 웹 사용 가능 환경,다큐멘터리,develop,1,TV쇼,6,2021-04-11,2021-01-01,,4.5,0,90,2017-11-05 13:50:56,윤정수
95,2012-09-19 07:08:57,404,자가 이용 가능한 최대화 정책,가나,이병철,공유 가능한 모듈형 마이그레이션,스릴러,develop,0,드라마,7,2004-09-22,2021-01-01,,0.0,0,8,2012-09-19 07:08:57,이병철
96,2013-06-04 07:57:20,720,품질 중심의 범국가적 전략,가봉,이정훈,조직화된 비동기 포탈,스릴러,develop,0,드라마,5,2011-07-02,2021-01-01,,1.5,1,30,2013-06-04 07:57:20,이정훈
97,2020-08-24 22:23:18,718,공개 아키텍쳐 정적 계층,그리스,문시우,공개 아키텍쳐 5세대 아카이브,공포,develop,0,드라마,6,2002-03-02,2021-01-01,,5.0,1,60,2020-08-24 22:23:18,문시우
98,2005-10-19 14:45:38,166,강화된 작동 표준,기니비사우,최중수,복제된 실행 공개 시스템,코미디,develop,1,영화,4,2007-10-16,2021-01-01,,1.5,1,73,2005-10-19 14:45:38,최중수
99,2018-04-15 05:26:39,326,오픈소스 최적화된 표준,모나코,장영미,확장된 최적화된 예보,공포,develop,1,드라마,5,2015-06-10,2021-01-01,,4.5,0,84,2018-04-15 05:26:39,장영미
100,2014-12-21 06:48:14,830,독보적인 무해한 정책,카메룬,이서현,최적화된 백그라운드 유연성,순정,develop,0,영화,1,2017-03-07,2021-01-01,,2.0,0,24,2014-12-21 06:48:14,이서현
